41f73ef5	专利,程序,美国,美国专利,研究	NORM,NORM,NEG,NEG,NORM
2ad9a97c	市场,私募基金,全球经济	NORM,NORM,NORM
0e49bffd	保险,互联网,互联网保险,单量,保单量	POS,POS,NORM,POS,POS
c5b2fc56	网络安全,互联网,linux	NORM,NORM,POS
8bc1ef44	人民日报	NORM
0fbe9cc5	选品,淘宝,店铺,关键,无货源,思路	NORM,NORM,NORM,NORM,NORM,NORM
75f74282	建帮扶,脱贫,甘肃铁投集团,脱贫攻坚,助力,甘肃省,甘肃省铁路投资建设集团有限公司	POS,POS,POS,POS,POS,POS,POS
58be1914	区块链,比特币	NORM,POS
1f154d92	中国,福布斯,马云,富豪榜,亿万富豪榜	POS,POS,POS,POS,POS
b90a2fa0	易观	POS
e9f8691d	马丽,逆流而上的你,模板	POS,POS,POS
4437997f	数字货币,区块链,人工智能	NORM,NORM,POS
1a5c2f25	工商年报,工商,年报	NORM,NORM,NORM
3af634ea		
4f0ca9e4	何洁,翟天临,明星	POS,POS,NORM
9763e249	瓜伊多,马杜罗,委内瑞拉,军警,处境	NEG,NEG,NEG,NEG,NEG
90547707	股票,除息,分红	NORM,NORM,NORM
49a62f34	期货,市场,投机,期货市场,投资者	NORM,NORM,NORM,NORM,NORM
f327ed9b	行情,市场	POS,POS
a4b7360d	maxhub	NORM
889cf2a6	网站,布局,网站关键词,优化,观点	NORM,NORM,POS,NORM,POS
c9c33ced	标准	NORM
cff46198	公司,微软雅黑,侵权,微博,实习生,文军营销,营销	NORM,NEG,NEG,NEG,NORM,NORM,NORM
01edf324	价格,废纸价格,预期,中线,春节	NORM,NORM,NORM,NORM,NORM
8eecf279	财经,数据,失业率	NORM,NORM,NORM
7755c04f	绿色债券,兴业银行,气候债券倡议组织,倡议,新兴市场,国家	POS,POS,POS,POS,POS,POS
45471a82	卖家,亚马逊,买家	NORM,NORM,NORM
56c959c7	东京,夜店	POS,NORM
d02504db	期货,套利,投资,期货投资,炒期货,市场	NORM,NORM,NORM,NORM,NORM,NORM
c7f5edcd	印度,htc	NEG,POS
c44abcaa	抗干扰性,仪器	NORM,NORM
37efa1f0	科创板,董秘,公司,上市公司,规则	NORM,NORM,NORM,NORM,NORM
64b4fb37	开发区,宁夏,资金,高质量	POS,POS,POS,POS
aff468d2	手机,小米,三星,曝光,价格表	POS,POS,POS,POS,POS
4610a552	余额,个人住房贷款,贷款	POS,POS,POS
38f9967e	泥浆	NORM
132c0774		
357edc04	越南,大米,中国,国土	POS,POS,POS,POS
7aa50c5d	保险,济南,保费	NORM,NEG,NEG
5e5a59d9	辽宁,黑科技	POS,POS
f0ad7265	叶璇,道歉信,飞机	NEG,NORM,POS
df8be7dc	李易峰	POS
a1da2bb6	亚马逊	POS
d44d42d2	能源,醇基燃料,群众,主体	POS,POS,POS,POS
10b60db5	小程序,程序,微信,流量	POS,NORM,NORM,NORM
79dbf554	普惠金融,科技,赋能	POS,POS,POS
6b972271	深交所,上市	NORM,POS
d97a29ea	期货,交易,风险,期货交易	NORM,NORM,NORM,NORM
4a76109a	概念,大盘,4k	POS,NORM,POS
31571de9	人工智能名片,销售员	POS,POS
29ce2c03	脱发,皮肤科	NORM,POS
0d4c388e	葡萄,种植户	NORM,NORM
771d6003	基金,尚智逢源,优势	NORM,NORM,NORM
53e5911a	实用性,行业,可靠性	NORM,NORM,NORM
7fe198de	充电,耳机孔,耳机	NORM,POS,NORM
8c36667f	手机	NORM
8cb6ba1f	洁净室,问题,方法	NORM,NORM,NORM
9a3efd8a	黄金,短线,后市	NORM,NORM,NEG
dc7ecdd3	产品,智能传感器,siaf	POS,POS,POS
ae691aca	集成墙面,故事,投资	NORM,NORM,NORM
674a87f4	贷款,银行,交通银行	NORM,NORM,NORM
b09a636d	合作协议	POS
3c76e983	股票,股票配资,配资,利益	NORM,NORM,NORM,NORM
5c6d3669	工程师,程序员,编程语言,区块链,安全工程师,hired	NORM,NORM,NORM,NORM,NORM,NORM
5a20039c	商品,载体	NORM,NORM
6eb965a1	交通,监控,数据,智慧交通,大数据	POS,NORM,POS,POS,NORM
558c250c	fcc,sdoc,voc,fcc认证	NORM,POS,NORM,NORM
c75724b9	zingfront,营销,价值	NORM,NORM,NORM
ad189a14	反贪风暴,古天乐,周秀娜,反贪风暴4,嫩模	POS,POS,POS,POS,POS
30c412e9	swift,poc,区块链,汇丰银行,德意志银行	POS,POS,POS,POS,POS
a045249e	工作,方法	NORM,NORM
a64cb638	马天宇,希望,公益	POS,POS,POS
d72849ed		
19d56e94		
bb856a3f	英国,ukca,ca,ce,脱欧,英国脱欧	NEG,POS,POS,POS,NEG,NEG
6ccb06bb	岳云鹏,学习	POS,POS
1da69135	运营,自媒体	POS,NORM
d56f32b0	风险,pta,潜在风险	NORM,NORM,NORM
38cfe59f	福利院,阿姨,结婚,叔叔,哥哥	POS,POS,NORM,POS,POS
1d854a48	互联网	POS
54fffcdb	印度,bis,bis认证,印度标准局	POS,NORM,NORM,NORM
4a1ce808	创业,苏猫,潮流	POS,POS,NORM
c72f761b	人间·喜剧,艾伦,麻花,夏洛特烦恼	POS,POS,POS,POS
53d8a16e	手机	NORM
bc7fbca4	雾霾,韩国,中国,外交部	NEG,NEG,NEG,NORM
4d72996a	周星驰,喜剧之王	POS,POS
9997b67e	宋慧乔,ins	POS,POS
f4b0f665	股指,早盘,三大股指	NEG,NORM,NEG
e8ba1e51	方式,电商,企业	NORM,NORM,NORM
a1a2c3ea	广濑铃,姐姐,爱丽丝,日本,日本女星,女星,合影,神仙颜值	POS,POS,POS,POS,POS,POS,POS,POS
b1499187	安装,指纹锁	NORM,NORM
6985f90f	钢铁,企业,钢铁行业,减税,钢铁企业	NORM,NORM,POS,POS,POS
d0ddfc74	dx,纳斯达克,欧盟,爱沙尼亚	POS,POS,NORM,POS
557b8732	市场,idc,5g手机	NORM,POS,POS
f192e758	汪峰,章子怡,父母,租房	POS,POS,NORM,NORM
2b4208f2	女儿,沈梦辰,恋爱,女儿们的恋爱	POS,POS,POS,POS
82fad944	性价,魅族note9,魅族	NORM,POS,POS
b9ff3e7c	深圳境外投资备案,北京亚	NORM,NORM
e9d80e1a	淘客,干货	NORM,NORM
1cde4805	养老金,总体	POS,POS
a2a58bf0	朴敏英,韩国	NEG,NEG
b28711a0	狮子金融,原油,eia,美国,美原油	POS,POS,POS,NEG,NORM
358256e2	商标转让,社标网,商标	NORM,NORM,NORM
5c9e6216	企业营销,网站,产品	NORM,NORM,NORM
6b8db02d		
479e3e36	索尼,x8500g,x8588,液晶电视	POS,POS,POS,POS
ec60fa04	网贷,收益,行业,降息,收益率	NEG,NORM,NEG,NORM,NEG
35e757af	女明星,明星,京城四少,风光	POS,POS,POS,NORM
fb23e79f	电视,特种部队,野外潜行,路程,技巧	NORM,NORM,NORM,POS,NORM
aed40fe4	资产证券化,全国人大代表,abs	POS,POS,POS
2d7bae4d	网贷,套路贷,市场	NORM,NORM,NORM
be883f15	黄奕,黄芊玲	POS,POS
77e97930	涂料	NORM
2adf31b3	黄金,are	POS,NORM
a720489c	养老金	POS
377d558a	市场,mdi,价格,mdi市场,生意社	NORM,POS,NORM,NORM,POS
b035435d	计算机,系统	NORM,NORM
21f864e8	白名单,平台,网贷平台,网贷平台白名单	NORM,NORM,NORM,NORM
7361d13e	助听器,声音,数码,ai,脑波	NORM,POS,POS,POS,POS
4ae3af41	商标,熊猫,熊猫直播,破产,商标转让	NORM,NEG,NEG,NORM,NEG
52f048c6	服务,区块链,日本银行,金融服务	POS,POS,POS,POS
66cdee40	男团,蒙恩,zero	POS,POS,POS
deaf1d6f	股价,交量,主力资金,技巧,买卖	NORM,NORM,NORM,NORM,NORM
e8d3234f	孙俪,公益事业,零食	POS,POS,POS
9f7e9445	造艺科技	POS
8418f265	企业,网站,互联网,市场	NORM,NORM,NORM,NORM
6f337a18	中国,个税	POS,POS
2e433426	曹曦月,殷离,倚天屠龙记,上线,金庸,腾讯,视频	POS,POS,POS,POS,POS,POS,POS
a7457dfa	触摸一体机,智能产品	NORM,NORM
597f5429	周润发	POS
acbd1d5e	俄罗斯,音乐会	POS,POS
db0c0079	社会,社会问题,路面	NORM,POS,NORM
cad8a387	洗地机,工厂	NORM,NORM
31c1a0d6	韩国,智能手机,流量,用户,8g	NEG,POS,POS,POS,POS
dc9dea68	银行,普通人	NORM,NORM
a1a36120	女明星,腿精	NORM,NORM
b53d1240	杨芳芳,身姿,英文名	POS,NORM,NORM
b8f921e0	银行,tao,信用卡,安全	NORM,NORM,NORM,NORM
705fdb85	李易峰,网红湾湾,恋情	POS,NEG,POS
6b8bb390	方法,相机	NORM,NORM
d19857d7	iphone,三星,galaxys10,苹果	NEG,POS,POS,POS
11c3ed6a	电路板,通孔	NORM,NORM
09f3ae98	宇汇国际网,平台,mt4	NORM,NORM,NORM
a4bf4908	原因,外汇,强平	NORM,NORM,NORM
102b1fff	百度,投资,百度投资,董事,李彦宏	POS,NORM,POS,POS,POS
2bcb0484	瑞士,区块链,交易所,成功	POS,POS,POS,POS
792747f4	百度,投资,董事,李彦宏,李彦	POS,NORM,POS,POS,POS
8a2f4060	电机,热成像仪	NORM,NORM
fbc57900	北京,阳春	POS,POS
1f245833	vivo,三亚,vivo x27	POS,POS,POS
f069b34c	股市,房价,县城	NORM,NORM,POS
6093dc8d	英特尔,amd	POS,NORM
8beb9716	杠杆,金融公司	NORM,NORM
2eaac407	gdp,宁夏回族自治区,自治区,宁夏,总量,排行榜	POS,POS,POS,POS,POS,POS
d3146058	设备,厂家,价格,酸辣粉,影响	NORM,NORM,NORM,NORM,NORM
22c20c9b	小微企业,政策,普惠性减税,减税降费政策,减税降费	POS,POS,POS,POS,POS
b489a719	工作,葛洲坝	POS,NORM
d22ec05f	钢铁,钢铁行业	NORM,NORM
81088617	速卖通,俄罗斯,阿里	POS,POS,POS
d3abdc5b	中国,油菜籽,加拿大,中国海关	NEG,NORM,NEG,POS
17c70218	青山,定额	NORM,NORM
fe2baa69	pet瓶,特点,成型机	NORM,NORM,NORM
74b0c5d0	民生银行,武汉大学	POS,POS
eb39b966	mt4,交易,技术指标	NORM,NORM,NORM
0e10199a	珠边机	NORM
09932f5e	油价	NORM
24129f46	阿sa,石恒聪	NEG,NEG
c723d314	漫威,惊奇队长,女生节,漫威影业,影业	POS,POS,POS,POS,POS
187f14e3	洗衣机,开关	NORM,NORM
ba967234	诺基亚,系统	POS,POS
c95052e5	触宝,财报,q4	POS,POS,POS
c3ff21e6		
4fe38b28	苹果,圣地亚哥,招聘	NEG,POS,POS
4c552842	微信,聊天,功能	POS,NORM,POS
a11dff45	许魏洲,魏洲	POS,POS
3b689bf0	产品,卫生护垫,卫生巾	POS,POS,POS
8c8ddcaa	5g,华为,联想,杨元庆,王传东,宁愿	POS,POS,POS,POS,POS,POS
4e96810f	corda,six,区块链,r3	NORM,NORM,POS,POS
9ea39464	池塘,肥水,重点,管理	NORM,NORM,POS,NORM
a48834fe	iu,吕珍九,德鲁纳大酒店	POS,POS,POS
c739e1d0	银行,swift,汇丰,区块链	POS,POS,POS,NORM
3827ef0a	design,沙滩车	POS,POS
7ecdc0a3	时代,无人超市,科技,苏猫,模式,机器人	POS,POS,POS,POS,POS,NORM
df9d77bf	周黑鸭,港股,数据	NEG,NORM,NORM
97b85300	火箭,捷龙一号,首飞,发射,捷龙	POS,POS,POS,POS,POS
cdc9e0e3	张智霖,袁咏仪,旧照	POS,POS,POS
abb6f3c0	技术,智能建筑	POS,POS
a129d7ea	上市,红筹	POS,POS
478db7cb	规则,过程,严密性,管理者	NORM,NORM,NORM,NORM
8b963461	资本金,ppp,基础,基础设施,健康	POS,NORM,POS,NORM,NORM
feaf3a61	股票	NORM
229221c2	深度学习,ai,图网络	POS,POS,POS
9c313999	新零售,市场,运营,移动互联网	NORM,NORM,NORM,NORM
a0977f73	均线,股票,k线,马达,股民	NORM,NORM,NORM,POS,NORM
d8254685	危废处理,危废	NORM,POS
b9a99f46	两会,股市,a股	POS,NORM,POS
8b91195c	硬度,技术	NORM,NORM
599a92dc	语音交互,智能音箱,若琪	NORM,NORM,POS
0d0fea6e	倚天,金庸	POS,POS
79b3779b	融资,货场,巨资	NORM,POS,NORM
d69a3139	德国,diatest,电子塞规	NORM,NORM,POS
203ea50d	工业,工业4.0,lass	NORM,NORM,NORM
b380ce07	视频,趣头条,短视频,抖音,手机	POS,POS,POS,POS,NORM
79b14975	5g,文化产业,火花	POS,NORM,POS
0d3820b3	阿里,京东,百度,华为,地头	POS,POS,POS,POS,POS
1680578d	民营企业,高质量,民营经济,刘世锦	POS,NORM,NORM,POS
50bed92a	金刚石,新工艺,刀具	NORM,NORM,NORM
1e7a4fee	5g,大唐移动,两会,全国两会	POS,POS,POS,POS
b03739a8	问题,政府工作报告,李克强	POS,NORM,POS
07fcc9b6	报告,体彩	NORM,NORM
8753bebd	程序员,类型	NORM,NORM
04647f60	工业互联网,广义,互联网	NORM,NORM,POS
63207ef6	北欧,赋能,知乎	POS,POS,POS
bbfabedd	扎克伯格,facebook,哈佛大学	POS,POS,POS
98902c4b	实验,总结,经验	NORM,NORM,NORM
9db96680	歌手,嘉宾,歌手2019	POS,POS,POS
9806f738	日本,房子,国人,年轻人,中国	NEG,NEG,NEG,NORM,NEG
a01d7e16	小龙虾,市场,规模,鱼肉	POS,POS,POS,NORM
f4f46570	企业,上交所,上海证券交易所科创板	POS,POS,POS
35c0d513	非洲猪瘟,疫情,法律责任,非洲猪瘟疫情,官方	NORM,NEG,NEG,NEG,NORM
95b3fb05	程序员,cloudnative	NORM,NORM
a49dbf31	传播,净网,净网2018,公安部	NORM,POS,POS,POS
98787f03	大s,离婚,汪小菲	NORM,NORM,NEG
f03de234	abb,美元,利润,净利润	POS,POS,POS,POS
55374080	打印机,口袋,佳能	NORM,NORM,NORM
0efb7536	魅族note,摄像头,魅族note9,供应商	POS,POS,POS,POS
48c874ce	华为,美国,美国政府,总部,坂田	POS,NEG,NEG,POS,POS
438ac212		
c4fbee4f	iphone,苏宁,天猫,售价	POS,POS,POS,NORM
f4686945		
ac785b72	股票	NORM
b25287e6	股票,权益投资	NORM,NORM
17dd3d52	投资,心态,冉志东	NORM,NORM,POS
93a42fbd	tvb,何广沛,小生	POS,POS,POS
07cefa58	地方政府,风险,财政部,地方政府债务,隐性债务,ppp	POS,POS,POS,POS,POS,NORM
ce781624	价格,螺纹钢,行情	POS,NORM,NORM
87a9a7de	中国,油菜籽,豆粕,加拿大	NEG,NEG,NEG,NEG
615fe42b		
f5735a01	黄金,原油,特朗普,言金师	NORM,NORM,NEG,POS
96fcbbdc	app,司机,运营	NORM,NORM,NORM
6d9cbd36		
7255658c	大音箱,小音箱	NORM,NORM
fd929e5b	lyft,优步,ipo,美国	POS,POS,POS,NEG
fd48079c	两会,人工智能,全国两会	POS,POS,POS
83364689	5g,手机,5g网	POS,POS,NORM
c1f7fa55	市场,方法	NORM,NORM
0f9ea4b7	iphone,苹果,新机,公司	NEG,NEG,NORM,NORM
e23f8b91	淘宝,天猫,消费者,品牌	POS,POS,POS,POS
64045473	两会,生态环保,热词	POS,NORM,POS
072f92fb	人工智能,ocr,人群	POS,NORM,NORM
29851184	中国,福布斯,马云,富豪榜,亿万富豪榜,内地首富	POS,POS,POS,POS,POS,POS
61f89945	高速公路,西南地区,东北,长三角,京津冀	POS,POS,POS,POS,POS
d9e010ea	大数据,浪潮,分案	NORM,NORM,NORM
125efe9c	退休,全球	NORM,NORM
2d05d7b9	华为,美国政府,原文	POS,NEG,NORM
54a50478	美国,spacex,假人模型,美国太空探索技术公司	NEG,POS,POS,POS
102ad689	数据,时代	NORM,NORM
e49814e8	川酒,川酒集团,五粮液,李秋喜,江口醇,两会	POS,POS,POS,POS,POS,POS
58574af5	猪价,中国	POS,POS
4926be09	指数,股民,行情	NORM,NORM,NORM
aebcb9c0	中国	POS
81ff60e7	华为,三星,oppo	POS,POS,POS
2469b7e9	亚马逊,快闪店,阿里,贝索斯	POS,POS,POS,POS
338c3489	中国科学院,课题组	POS,POS
71dd5d59	李克强,携号转网,运营商	POS,POS,POS
609996e2	思维导图,律师,工作	NORM,NORM,NORM
ce068c5c	购房,攻略	NORM,NORM
f1ecec31	怦然心动,英语	POS,POS
6b05c8f2	周冬雨,长腿,格子,t恤	POS,NORM,POS,NORM
e7e840e5	中国,系列,中国市场,s10,三星galaxy	POS,POS,POS,POS,NORM
b06ac871	大盘	NEG
11c0795a	周笔畅,笔畅,何洁,超女,立场	POS,POS,POS,POS,POS
943566b3	苹果,vivo,侃哥,系列	POS,POS,POS,POS
055e3080	客户,员工,商业,离职,案例,特等奖	NORM,NORM,NORM,NEG,NORM,NORM
baaad2ba	麦达数字,基金,麦达	POS,POS,POS
ee9304fa	方式	POS
0747173e	唐嫣,港圈	POS,NORM
296920e0	限售流通股,流通股	POS,POS
8aa65a40	行情	NEG
138dd9ca	军考,黄金期	NORM,NORM
e7dff457		
8bd16f7b	rcm,流程	NORM,NORM
8c05bef2	流浪地球,挖掘机,伊敏河	POS,POS,POS
b1608520	资费,降费,运营商,集体	NORM,POS,POS,POS
38eac14e	大病保险,比例,癌症	POS,NORM,NEG
9891be49	联想,华为,5g,杨元庆	POS,POS,POS,POS
134de63f	周润发,血流,假戏,假戏真做	POS,NORM,NORM,POS
bc2a7a11	叠屏,曝光,专利,智能机	POS,POS,POS,POS
9654e9b7	下卡	NEG
56b77c2e	指数,题材,板块	NORM,NORM,NORM
fe52a2fc	闺蜜,合照,小心机,生活	POS,NORM,POS,POS
7a71ebc4	携号转网,pick,政府工作报告,电话卡	POS,POS,POS,NORM
17d37730	cpu,功能,cine	POS,POS,POS
b5d4b3ba	agv,功臣,物流	NORM,NORM,NORM
ae8e2087	倚天,刘亦菲	POS,POS
d4c23ed8	陈宇飞,陈凯歌,北影	POS,POS,POS
0ec3d34a	商业银行,融资,民营企业,小微企业	POS,NORM,POS,POS
cdca91a5	妻子,女首富,联网	POS,POS,POS
8eb37fa8	都挺好,倪大红,演技	POS,POS,NORM
40a76314	5g,努比亚,手机,消费者,4g手机	POS,POS,POS,POS,POS
93b1b107	go,java,python,web	POS,POS,POS,NORM
b2d5df98	俄罗斯,中国,火箭,挑战者	NEG,POS,NORM,NORM
70e16993	用户,需求,app,应用,才能	NORM,NORM,NORM,NORM,POS
2995eafc	牛市,行情,春节	NORM,NORM,NORM
0c5625f4	叶璇,徐汇,名誉,权案,名誉侵权案,侵权案	NEG,NEG,NEG,NEG,NEG,NEG
b2987266	vivo,系列,vivox,三亚,升降式	POS,POS,POS,POS,POS
e7d9a8b8	叙利亚,美国	NEG,NEG
fb257488	贾静雯,高圆圆,女儿	POS,POS,POS
4c8675b0	全智贤,女神,宋慧乔,身材	POS,NORM,POS,POS
4205fa4f	苹果,特朗普,库克,美国,库克苹果	NEG,NEG,NEG,NEG,NORM
3382b6c6	张天任,全国人大,浙商,全国人大代表,天能集团	POS,POS,POS,POS,POS
6d368496	吴亦凡,演唱会,凡式,南京站	POS,POS,POS,POS
b96c056c	qq,青春	POS,POS
08a95d25	昆明,楼市,房贷款利率,贷款利率,房贷利率,首套房贷利率,购房者,刚需购房者	POS,POS,POS,POS,POS,POS,NORM,POS
fca27ddb	有线电视,顶盒,网络机顶盒,宽带	NORM,NORM,NORM,POS
863500fa	港股,恒指,吉利,美股,开盘	NORM,NEG,NEG,NEG,NORM
2797860e	章子怡,汪峰	POS,POS
741807cd	管理系统,微信	NORM,NORM
41e0ea7d	周润发,拍戏,微博,小鲜肉	POS,NORM,NORM,POS
c147dc28	徐贤,娱乐,韩国,刘在石,全智贤,门户	POS,NEG,NEG,POS,POS,POS
2c384db9	德云社,岳云鹏,封箱	POS,POS,POS
994501b5	沈梦辰,海涛,杜海涛,满脸,希望,程莉莎	POS,POS,POS,POS,POS,POS
5dcb1751	数字税,谷歌,亚马逊,互联网,巨头,脸书	POS,POS,POS,POS,POS,POS
176165dc	非洲	NORM
d0ecbe41	老鼠,动物界	NORM,NORM
d9859baa	价格,淘气堡,儿童乐园,设备	NORM,NORM,NORM,NORM
b995b149	苹果,库克,特朗普,美国	NEG,NEG,NEG,NEG
dda9b97e	张嘉倪	POS
966b56ce	泥巴,海底,深海,江山房地产,地产,房地产	NORM,NORM,NORM,NORM,POS,NORM
b1443f33	加拿大,油菜籽,中国,加拿大油菜籽,关系,进口	POS,POS,POS,POS,POS,POS
25fe3399	网站,优化,seo,网站优化,区别	NORM,NORM,NORM,NORM,NORM
0760f9ec	注册,香港公司,注册香港公司	NORM,NORM,NORM
51ce4731	章子怡,汪峰,妻子的浪漫旅行	POS,POS,POS
3091f14b	魅族note9,红米note7,张图	POS,POS,NORM
c879926c	美军,天空,基地,碎片,美军基地	NEG,NEG,NEG,NEG,NEG
4453b454	飞行员,印军,边境	POS,NEG,NEG
e9785ad4	宋朝,清明上河图	POS,POS
69454ca9	贷款,信用卡,信用贷款	NORM,NORM,NORM
00dcabf3	灭蚊灯,蚊虫,注意事项,cg日用电器,日用电器	NORM,NORM,NORM,NORM,NORM
0ea18326	生态圈,环重庆科技学院,研讨会	POS,POS,POS
40ab0cf0	魅族note9,红米note7,性价,千元机	POS,POS,NORM,NORM
99f40749	古诗词,小学	POS,POS
a2734a45	苏母,苏明玉,重男	NEG,POS,NEG
8a9e96af	美国,美国食品药品监督管理局,石棉,claire,化妆品,警告	NEG,POS,NORM,POS,NORM,NORM
19477542	中国,洲际导弹,性能	POS,POS,POS
7cd46ec2	易居研究院,二手房	POS,NORM
9cadf563	原子灰,家具,装修	NORM,NORM,NORM
9acff6cd	吸毒,思聪,林更新,王思聪,女友	NORM,POS,POS,POS,POS
dcc75bff	养老金,金磊	POS,POS
8ca1332d	服务,苏宁手机,透明修服务,上线,权益	POS,POS,POS,POS,POS
f1d6c615	苹果,蒂姆·库克,乔布斯,名字	NEG,NEG,POS,NEG
16a016d2	养老金,菏泽人	POS,POS
25b30f8b	倚天屠龙记,殷素素,陈欣予	POS,POS,POS
29e9d613	if,上证50	NORM,NORM
5fa0ebaf	阿里云移动端播放器,截图,音频波形	POS,POS,NORM
6ae87f50	龙光,粤港澳大湾区,汇丰银行	POS,POS,POS
8a5c7c39	企业信用管理	NORM
9eb9e37f	周立波,黑粉,吐槽	NEG,NEG,NORM
0dd4243b	intel,usb	POS,POS
c822657a	研讨会	POS
9cce46fc	印度,玖龙,玖龙纸业,投资	POS,POS,POS,POS
49da7183	公安部,app,净网2018	POS,POS,POS
a0379946	脱贫,湖南省,老区,脱贫攻坚	POS,POS,POS,POS
827cb3f2	伪装者,谍战片,阵容	POS,POS,POS
0e928678	股海	NORM
cace5148	农村地区,茄子,野草	NORM,NORM,NORM
9a77ea3a	网站,网站建设,网站优化,专业网站	NORM,NORM,NORM,NORM
736cf6eb	普通,磨床	NORM,NORM
886279b3	俄铝	NEG
4f7b2857	周诗璇,春暖花又开	POS,POS
c877c601	手机,联系人,通讯,手机通讯录	NORM,NORM,NORM,NORM
a149b81b	开门红,冀中能源峰峰集团,冀中能源,峰峰集团	POS,POS,POS,POS
41d4de1b	usb,thunderbolt,thunderbolt3	POS,POS,POS
e0fd1017	女神节,精华	POS,POS
40510d6b	熊黛林,姐姐	POS,POS
